iter	RMSE
0	0.9308275127
1	0.919815503
2	0.9092951565
3	0.8991545301
4	0.8895681856
5	0.880371135
6	0.8715906537
7	0.8630008115
8	0.8544910468
9	0.8466805694
10	0.8390069359
11	0.831809018
12	0.8250539959
13	0.8184341765
14	0.8120380167
15	0.8057885203
16	0.7999838905
17	0.7943803435
18	0.7889127426
19	0.7837466303
20	0.778784092
21	0.7739130464
22	0.7692318461
23	0.7647312908
24	0.7604231936
25	0.756466481
26	0.7527050133
27	0.7491025763
28	0.7455681648
29	0.7421133327
30	0.7387600509
31	0.7353143606
32	0.7324321351
33	0.7295710076
34	0.7269573665
35	0.7242830732
36	0.7218107537
37	0.719189742
38	0.716697358
39	0.7144076872
40	0.7121978897
41	0.7101429464
42	0.7079900036
43	0.7058038988
44	0.7039007257
45	0.7021645986
46	0.7004074098
47	0.6988391184
48	0.6974015971
49	0.695855262
50	0.6941829726
51	0.6927829222
52	0.6914492612
53	0.6901230562
54	0.6889194123
55	0.6876119912
56	0.6864835148
57	0.6852553114
58	0.6842015439
59	0.6829166031
60	0.6819728421
61	0.6807863667
62	0.6798997733
63	0.6788835945
64	0.6779177375
65	0.6770967937
66	0.6761605499
67	0.6753427517
68	0.6745517847
69	0.6736113308
70	0.6728777713
71	0.6722012751
72	0.6715203004
73	0.6708789278
74	0.6701742585
75	0.66952981
76	0.6689429234
77	0.6683989658
78	0.6676252465
79	0.6669020663
80	0.6663094226
81	0.6658485425
82	0.6653022651
83	0.6646920109
84	0.6641872086
85	0.6636653363
86	0.6630657757
87	0.6626386377
88	0.6621448405
89	0.6616625737
90	0.6611571729
91	0.6606420212
92	0.6601987837
93	0.6597360183
94	0.6592875473
95	0.6588908779
96	0.6584434076
97	0.6580243013
98	0.6575958227
99	0.6573402647
100	0.6569326896
101	0.6565797364
102	0.6561509878
103	0.6558045252
104	0.6554629529
105	0.6551389898
106	0.6547490952
107	0.6544441767
108	0.6541563236
109	0.6538309628
110	0.6535461048
111	0.6532856935
112	0.6529818549
113	0.6526394435
114	0.6524091059
115	0.6521865179
116	0.6519236582
117	0.6516740381
118	0.6514053153
119	0.6511986962
120	0.6509138237
121	0.6507441748
122	0.6505312057
123	0.6502464665
124	0.6500143826
125	0.6498107983
126	0.6496375486
127	0.6493135182
128	0.6490554418
129	0.6487823335
130	0.6485118183
131	0.6480988474
132	0.6478714398
133	0.6476435317
134	0.6473857009
135	0.6470663987
136	0.6468494148
137	0.6465960595
138	0.6463043197
139	0.646114037
140	0.6459564537
141	0.6458022171
142	0.6455933885
143	0.6454354198
144	0.6452048258
145	0.6450620833
146	0.6449057334
147	0.6446788311
148	0.6445656039
149	0.6443752257
150	0.6442419983
151	0.6440724793
152	0.6438325582
153	0.643639936
154	0.6434827826
155	0.6433332432
156	0.6431450204
157	0.6429477887
158	0.6428141367
159	0.642616088
160	0.6425262069
161	0.6423947074
162	0.6422168992
163	0.641979369
164	0.6418066704
165	0.6416786023
166	0.6415663164
167	0.641430963
168	0.6412866943
169	0.6411561049
170	0.6410287184
171	0.6409134257
172	0.6407474068
173	0.6406531245
174	0.6404987642
175	0.640347216
176	0.6401541625
177	0.640009587
178	0.6399091759
179	0.6396789001
180	0.6395397789
181	0.6394066399
182	0.6393015625
183	0.6391972512
184	0.6390812468
185	0.6389561574
186	0.6388631837
187	0.638668989
188	0.6385607673
189	0.6384757733
190	0.638380829
191	0.6382487246
192	0.6380837006
193	0.6378628874
194	0.6377570579
195	0.6376649318
196	0.6375726713
197	0.6374958411
198	0.6373584765
199	0.6371888382
200	0.6370833187
201	0.6369727639
202	0.6368742304
203	0.6366018387
204	0.6365147114
205	0.6363762481
206	0.636200128
207	0.6360891547
208	0.6359441336
209	0.635788684
210	0.6356931831
211	0.6355714581
212	0.6354731973
213	0.6353837269
214	0.6352824118
215	0.6351961941
216	0.6351193459
217	0.6349776625
218	0.6348963693
219	0.6348049591
220	0.634679019
221	0.6345574895
222	0.6344074169
223	0.6342546168
224	0.6341706699
225	0.6340752422
226	0.6340169433
227	0.6338639309
228	0.6337248123
229	0.633603154
230	0.6335224248
231	0.6334023754
232	0.6333231345
233	0.6331967825
234	0.6330679408
235	0.6330086266
236	0.6329188937
237	0.6327928923
238	0.6326559497
239	0.6325650767
240	0.6324850157
241	0.6324001159
242	0.6323385353
243	0.6322843621
244	0.6322028741
245	0.6321125638
246	0.6320586385
247	0.6319817236
248	0.6318286195
249	0.6316857782
250	0.6315418776
251	0.6314757853
252	0.6314129429
253	0.6313229437
254	0.6312476862
255	0.6311594755
256	0.6310900687
257	0.6310265976
258	0.6309611972
259	0.6308902453
260	0.6307409313
261	0.6306397333
262	0.6305485123
263	0.6304202027
264	0.6303449599
265	0.6302773005
266	0.6300920608
267	0.6300261861
268	0.629951307
269	0.6298921311
270	0.6298421679
271	0.6297795601
272	0.6296687898
273	0.6296158237
274	0.6295552555
275	0.6294372525
276	0.6293263465
277	0.6292345886
278	0.629150535
279	0.6290059936
280	0.6288202508
281	0.6286783779
282	0.6286229617
283	0.6285689983
284	0.6284787663
285	0.6283993068
286	0.6282905962
287	0.6282141066
288	0.6281270732
289	0.6280627532
290	0.6279868092
291	0.6279323747
292	0.627866245
293	0.6277619956
294	0.627664722
295	0.6275951681
296	0.6275241238
297	0.627421655
298	0.6273438409
299	0.6272899767
300	0.6272255856
301	0.6271360361
302	0.6270910774
303	0.6270260809
304	0.6269101708
305	0.626858436
306	0.6267427851
307	0.6266162695
308	0.6265021782
309	0.6264214293
310	0.626381684
311	0.6262697253
312	0.6262187377
313	0.626151849
314	0.6260555115
315	0.6260018694
316	0.6259486816
317	0.625866693
318	0.6257779214
319	0.6256685776
320	0.6255877016
321	0.6255052712
322	0.6254384103
323	0.6253514662
324	0.625295956
325	0.6252538457
326	0.6251901077
327	0.6251073343
328	0.6250593286
329	0.6249155958
330	0.6247553978
331	0.6246240552
332	0.6245255389
333	0.6244556539
334	0.6244116736
335	0.624300919
336	0.6242089469
337	0.6241588356
338	0.6240693698
339	0.6240087753
340	0.6239500091
341	0.6238515474
342	0.6237925338
343	0.6237342353
344	0.6236704473
345	0.6234838045
346	0.6234298784
347	0.6233491396
348	0.6232085554
349	0.623155975
350	0.6230508295
351	0.6229112652
352	0.6228133514
353	0.6227025149
354	0.6226492008
355	0.622539331
356	0.6223810018
357	0.6222469207
358	0.6221978417
359	0.6221539269
360	0.6221033427
361	0.6220323728
362	0.6219138621
363	0.6218191009
364	0.6216931166
365	0.6216089309
366	0.6215380841
367	0.6214547804
368	0.6214056712
369	0.6213210771
370	0.6212626263
371	0.6211181215
372	0.6210575362
373	0.6208991425
374	0.6208262278
375	0.6207476511
376	0.6206355233
377	0.6205037621
378	0.6203766626
379	0.620205693
380	0.6200687529
381	0.6199802916
382	0.6198470319
383	0.6197561835
384	0.6196408327
385	0.6195718032
386	0.6194605856
387	0.6193841972
388	0.6193165625
389	0.6192043033
390	0.6191389628
391	0.6190066069
392	0.6188691945
393	0.6187775202
394	0.6186749619
395	0.6185950218
396	0.6185187657
397	0.6184671533
398	0.6184044427
399	0.6183437869
400	0.6182546801
401	0.6181943943
402	0.6181390165
403	0.6180367961
404	0.6179124227
405	0.6177791718
406	0.6176709131
407	0.6176075208
408	0.6174972948
409	0.6174139476
410	0.617294242
411	0.617175253
412	0.6170667692
413	0.6170160918
414	0.6169534418
415	0.616848664
416	0.6167154662
417	0.6165868831
418	0.6164589912
419	0.6163403469
420	0.6162433026
421	0.6161569917
422	0.6160485539
423	0.615980652
424	0.6158836418
425	0.6157968884
426	0.6156561747
427	0.6155683564
428	0.6154647788
429	0.6153983974
430	0.6152581266
431	0.6151421539
432	0.6150518854
433	0.6150090138
434	0.6149043134
435	0.6148233945
436	0.6146839712
437	0.6145935006
438	0.6144974041
439	0.6144050729
440	0.6143089579
441	0.6142447649
442	0.6140935252
443	0.6139926651
444	0.6139138084
445	0.6138301341
446	0.6137148885
447	0.6136233759
448	0.6135656372
449	0.6134596341
450	0.6133853495
451	0.6132766893
452	0.6131501411
453	0.6130172881
454	0.6129469442
455	0.6128196967
456	0.612719443
457	0.6126563769
458	0.6125744219
459	0.6125028739
460	0.6124110326
461	0.6123186895
462	0.6122519385
463	0.6121264327
464	0.6120632532
465	0.611980476
466	0.6119006583
467	0.6118079356
468	0.6117287125
469	0.611638382
470	0.6115643958
471	0.6114947699
472	0.6114053875
473	0.6113169031
474	0.6111984442
475	0.611100106
476	0.611028801
477	0.6109392965
478	0.6108285901
479	0.6107520063
480	0.6106555758
481	0.610567524
482	0.6105007365
483	0.6103809834
484	0.6102637882
485	0.6101848674
486	0.6101236054
487	0.6099962681
488	0.6099131915
489	0.609830103
490	0.6097412983
491	0.6096402168
492	0.6095644541
493	0.6094575377
494	0.6094079733
495	0.6093471511
496	0.6092709178
497	0.6091885119
498	0.6091111742
499	0.6090629129
500	0.6089855117
501	0.6089127252
502	0.6088300925
503	0.6087561518
504	0.6086848848
505	0.6085743226
506	0.608486138
507	0.6084172899
508	0.6083079027
509	0.6082427715
510	0.6081844872
511	0.6080896356
512	0.608006264
513	0.6079279917
514	0.6078365099
515	0.6077685927
516	0.6076569223
517	0.6075783349
518	0.6075152245
519	0.6074172557
520	0.6073404895
521	0.6072776624
522	0.6072016078
523	0.6070923795
524	0.6070299901
525	0.6069691091
526	0.6068869911
527	0.606821119
528	0.6067268488
529	0.6066532472
530	0.6065775446
531	0.6065104239
532	0.6064190841
533	0.6063330553
534	0.6062509418
535	0.6061678666
536	0.606081968
537	0.6060093009
538	0.6059429643
539	0.6058660572
540	0.6058194544
541	0.6057615066
542	0.6057083985
543	0.6056245654
544	0.6055605145
545	0.6054368941
546	0.6053728314
547	0.605313149
548	0.6052586922
549	0.605149534
550	0.6050683463
551	0.6049926377
552	0.6049214833
553	0.6048404005
554	0.6047789963
555	0.6047024778
556	0.6046166023
557	0.6045579571
558	0.6044910544
559	0.6044092123
560	0.6043347917
561	0.6042643266
562	0.6041782808
563	0.6040881029
564	0.6040290104
565	0.6039659942
566	0.603905343
567	0.6037926619
568	0.603726895
569	0.6036777948
570	0.6036205161
571	0.6035563516
572	0.6034824988
573	0.6034248185
574	0.6033408297
575	0.6032409697
576	0.603159904
577	0.6030614191
578	0.6029918669
579	0.6029311639
580	0.60284348
581	0.6027550893
582	0.6027106985
583	0.6026410113
584	0.6025881824
585	0.6025219677
586	0.6024687839
587	0.6023952347
588	0.6023402885
589	0.6022698524
590	0.6022070014
591	0.6021504857
592	0.6020946819
593	0.6020099658
594	0.6019571942
595	0.6018664215
596	0.6018082642
597	0.6017264371
598	0.601649947
599	0.6015665681
600	0.6015051635
601	0.6014309963
602	0.6013471278
603	0.6012526239
604	0.6011906987
605	0.6011314677
606	0.6010909456
607	0.6010397342
608	0.6009922209
609	0.6008923327
610	0.6008326461
611	0.6007610335
612	0.600695458
613	0.6006507724
614	0.6005636371
615	0.6005147409
616	0.600443037
617	0.6003582865
618	0.6002849722
619	0.600240924
620	0.6001808596
621	0.6001508477
622	0.6000850001
623	0.6000317834
624	0.5999788852
625	0.5999350045
626	0.5998696401
627	0.5997906389
628	0.5997186505
629	0.5996483688
630	0.5995963551
631	0.599537226
632	0.5994524133
633	0.5993806014
634	0.5993095765
635	0.5992489767
636	0.5991890559
637	0.5991355258
638	0.5990655803
639	0.5989934294
640	0.5989280711
641	0.5988614507
642	0.5988344723
643	0.5987754323
644	0.5987180138
645	0.5986615039
646	0.5986071114
647	0.5985089722
648	0.5984232104
649	0.5983390689
650	0.5982432797
651	0.5981620528
652	0.5980890387
653	0.5980247329
654	0.5979756874
655	0.597953367
656	0.5979205729
657	0.5978603306
658	0.5977547611
659	0.5976967718
660	0.5976437918
661	0.5975668645
662	0.5974816656
663	0.5974165556
664	0.5973305384
665	0.5972738614
666	0.5972267206
667	0.5971703983
668	0.5970939947
669	0.5970460625
670	0.5969694622
671	0.596923064
672	0.5968864386
673	0.5968394446
674	0.5967710844
675	0.5967064569
676	0.5966465472
677	0.5965933943
678	0.5965421516
679	0.596472588
680	0.5964163188
681	0.5963491126
682	0.59627759
683	0.596230086
684	0.5961791918
685	0.5961117671
686	0.5960530577
687	0.5960056214
688	0.5959474183
689	0.5958966168
690	0.5958332317
691	0.5957821023
692	0.5957115368
693	0.5956385457
694	0.5955737866
695	0.5955263115
696	0.5954509946
697	0.5953857249
698	0.5953094986
699	0.5952324784
700	0.5951696447
701	0.5951167245
702	0.5950453769
703	0.5949824279
704	0.5949388889
705	0.5948534553
706	0.5948077094
707	0.5947394122
708	0.5946796568
709	0.5946351343
710	0.5945900229
711	0.5945479297
712	0.5944921165
713	0.5944435268
714	0.5943808092
715	0.5943350625
716	0.5942865325
717	0.594246557
718	0.594198239
719	0.5941422073
720	0.5940454144
721	0.593993597
722	0.5939349747
723	0.5938628328
724	0.5938059314
725	0.5937455966
726	0.5937088849
727	0.5936510055
728	0.593578115
729	0.5935004971
730	0.5934499295
731	0.5933852879
732	0.5933378526
733	0.5933164226
734	0.5932699048
735	0.5932288149
736	0.5931614238
737	0.5931078388
738	0.593061625
739	0.5929887037
740	0.5929274499
741	0.5928539733
742	0.5927998275
743	0.5927388565
744	0.5926971092
745	0.5926624728
746	0.5925780818
747	0.5925091225
748	0.5924519104
749	0.5923857755
750	0.5923289321
751	0.5922757333
752	0.5922178257
753	0.5921509958
754	0.5921123096
755	0.592045268
756	0.5920007565
757	0.5919652655
758	0.5918915405
759	0.5918352081
760	0.5917984016
761	0.5917365994
762	0.5916763195
763	0.5916262266
764	0.5915793794
765	0.5915366666
766	0.5914824045
767	0.591425753
768	0.5913726579
769	0.5913123175
770	0.5912545537
771	0.5911813813
772	0.5911258068
773	0.591077214
774	0.5910345794
775	0.5909847047
776	0.5909107953
777	0.5908439697
778	0.5907922323
779	0.5907324153
780	0.5906907574
781	0.5906489956
782	0.5906155938
783	0.5905448751
784	0.5904710491
785	0.5904194023
786	0.5903994027
787	0.5903451576
788	0.5902690114
789	0.5902142137
790	0.5901461707
791	0.5900882515
792	0.589997258
793	0.5899593635
794	0.5898991703
795	0.5898677016
796	0.5898321719
797	0.5897890114
798	0.5897379801
799	0.5896902689
800	0.5896400438
801	0.5895981834
802	0.5895426173
803	0.58947592
804	0.5894443251
805	0.5894328383
806	0.5893807095
807	0.5893339265
808	0.5892784016
809	0.5892324208
810	0.5891971764
811	0.5891018172
812	0.5890498573
813	0.5889882835
814	0.5889490758
815	0.5888855537
816	0.5888269188
817	0.5887640161
818	0.5886800531
819	0.5886373155
820	0.5885873037
821	0.5885382647
822	0.5885029778
823	0.5884572697
824	0.5884132238
825	0.5883577061
826	0.5883164692
827	0.5882665482
828	0.5882186448
829	0.5881755083
830	0.5881102729
831	0.5880566294
832	0.5880068991
833	0.5879322056
834	0.587885092
835	0.5878353695
836	0.5878109044
837	0.5877636897
838	0.5877073121
839	0.587669574
840	0.5876242733
841	0.5875904773
842	0.5875608908
843	0.5874984671
844	0.5874501019
845	0.5874307025
846	0.5874012128
847	0.5873571404
848	0.5873290852
849	0.5872658468
850	0.5871989275
851	0.5871710881
852	0.5871087365
853	0.5870800578
854	0.5870296735
855	0.5869970717
856	0.5869791768
857	0.5869159309
858	0.5868691317
859	0.5868459188
860	0.5867824998
861	0.5867187733
862	0.5866776893
863	0.5866265174
864	0.5865710059
865	0.5865011859
866	0.5864876855
867	0.5864452541
868	0.5863994784
869	0.5863624099
870	0.5863044823
871	0.586246157
872	0.586189157
873	0.5861374332
874	0.5860960749
875	0.5860555613
876	0.5860025631
877	0.5859575275
878	0.5859042071
879	0.5858620512
880	0.5858170631
881	0.5857871024
882	0.5857339547
883	0.585702146
884	0.5856488031
885	0.5856090196
886	0.5855482924
887	0.5855201773
888	0.5854606417
889	0.5853993684
890	0.5853369843
891	0.5852958979
892	0.5852428302
893	0.5851844057
894	0.5851341399
895	0.585091844
896	0.5850504713
897	0.5849904758
898	0.5849384637
899	0.5848691244
900	0.5848229276
901	0.5847925486
902	0.5847275101
903	0.5846807284
904	0.5846110743
905	0.5845261543
906	0.584485377
907	0.584447943
908	0.5843912669
909	0.5843548308
910	0.5843082023
911	0.5842777256
912	0.5842506835
913	0.5842177835
914	0.5841739917
915	0.5841396039
916	0.5840894093
917	0.5840256989
918	0.5839979433
919	0.5839422662
920	0.5838879115
921	0.5838488324
922	0.5837900683
923	0.5837426279
924	0.5837028082
925	0.5836593539
926	0.5836120003
927	0.5835513333
928	0.5835091359
929	0.5834627728
930	0.583393612
931	0.5833490426
932	0.5833027022
933	0.5832574227
934	0.5832109678
935	0.5831345116
936	0.5830915919
937	0.5830292467
938	0.5829813544
939	0.5829355326
940	0.5829112766
941	0.5828624363
942	0.5828460724
943	0.582807446
944	0.5827605628
945	0.5827291219
946	0.5826872787
947	0.5826294448
948	0.5826034834
949	0.5825710331
950	0.5825359556
951	0.5824927516
952	0.5824607271
953	0.5824197216
954	0.5823737911
955	0.5823319643
956	0.5823001182
957	0.5822650767
958	0.5822074138
959	0.582155829
960	0.582104504
961	0.5820427408
962	0.5819794116
963	0.5819466961
964	0.581900919
965	0.5818711809
966	0.5818117818
967	0.5817479213
968	0.5816957957
969	0.5816477818
970	0.5816105048
971	0.5815617749
972	0.5815227366
973	0.581471224
974	0.5814258763
975	0.5813722173
976	0.5813293688
977	0.5812743378
978	0.5812139027
979	0.5811833004
980	0.5811115827
981	0.5810455505
982	0.5810051126
983	0.5809590605
984	0.580902189
985	0.5808652353
986	0.5808155238
987	0.5807779718
988	0.5807347702
989	0.5806929355
990	0.5806710479
991	0.5806289178
992	0.5805670743
993	0.580522712
994	0.5804733509
995	0.5804323872
996	0.5803837045
997	0.5803340267
998	0.5802997214
999	0.5802380517
1000	0.5801833056
1001	0.5801398372
1002	0.580092371
1003	0.5800409991
1004	0.5799838993
1005	0.5799511469
1006	0.5798932214
1007	0.5798423332
1008	0.57979441
1009	0.5797558784
1010	0.5796864985
1011	0.5796382386
1012	0.579597544
1013	0.5795590731
1014	0.5795170246
1015	0.5794747777
1016	0.5794298579
1017	0.5793740648
1018	0.5793262782
1019	0.5792744257
1020	0.5792475938
1021	0.5792049748
1022	0.5791642718
1023	0.5791088111
1024	0.5790714667
1025	0.5790272402
1026	0.5789711028
1027	0.5789128596
1028	0.5788612915
1029	0.5788245167
1030	0.5787874613
1031	0.5787606008
1032	0.578734869
1033	0.5787054265
1034	0.5786458797
1035	0.5785909285
1036	0.5785194891
1037	0.5784662025
1038	0.5784111656
1039	0.5783701657
1040	0.5783447556
1041	0.5782831719
1042	0.5782451015
1043	0.5781866342
1044	0.5781580577
1045	0.5781084483
1046	0.5780683646
1047	0.5780377398
1048	0.5779879282
1049	0.5779375369
1050	0.5779045829
1051	0.577861027
1052	0.577822352
1053	0.5777848368
1054	0.5777229119
1055	0.5776749624
1056	0.5776403989
1057	0.5775833689
1058	0.5775375443
1059	0.5774805556
1060	0.577446359
1061	0.5773822082
1062	0.5773309035
1063	0.5772979057
1064	0.5772386
1065	0.5772004931
1066	0.5771570019
1067	0.5771060113
1068	0.5770515689
1069	0.5770145672
1070	0.5769731904
1071	0.576932659
1072	0.5768711658
1073	0.5768310657
1074	0.5767924043
1075	0.5767343508
1076	0.5767159618
1077	0.5766643757
1078	0.5766115779
1079	0.5765758939
1080	0.5765278082
1081	0.5764978818
1082	0.5764581153
1083	0.5764059846
1084	0.5763702707
1085	0.576322658
1086	0.5762731206
1087	0.5762513478
1088	0.5762132623
1089	0.5761788864
1090	0.5761386256
1091	0.5761029212
1092	0.5760615823
